site,issue_id,job_id,bigchange_ref,planned_start,recipient
"Leodis Square, Leeds",IS22944235,JB11608006,JOB286462,20/07/2026,Tenant
"Granary Quay, Glasgow",IS22945617,JB11608353,DLFF286473,20/07/2026,Agent
"Leodis Square, Leeds",IS22945743,JB11608371,DLFF286474,21/07/2026,Agent
"Chapel Wharf, Salford",IS22946437,JB11608463,JOB286476,20/07/2026,Agent
"Chapel Wharf, Salford",IS22946439,JB11608464,JOB286477,20/07/2026,Agent
"Chapel Wharf, Salford",IS22946455,JB11608465,JOB286478,20/07/2026,Agent
"Leodis Square, Leeds",IS22946607,JB11608481,EOT286479~1,20/07/2026,Agent
"Leodis Square, Leeds",IS22946607,JB11608481,EOT286479,22/07/2026,Agent
"Leodis Square, Leeds",IS22946607,JB11608481,EOT286479~2|EOT286479~3,23/07/2026,Agent
"Leodis Square, Leeds",IS22946722,JB11608498,EOT286542|EOT286542~1|EOT286542~2|EOT286542~3,20/07/2026,Agent
"Stoneywood Brae, Aberdeen / Dyce",IS22948134,JB11609056,DLFF286543,24/07/2026,Agent
"Stoneywood Brae, Aberdeen / Dyce",IS22948140,JB11609059,JOB286544,27/07/2026,Agent
"Leodis Square, Leeds",IS22948952,JB11609183,DLFF286548,23/07/2026,Agent
"Armouries, Birmingham",IS22949198,JB11609219,JOB286550,20/07/2026,Agent
"Granary Quay, Glasgow",IS22949319,JB11609240,JOB286551,20/07/2026,Agent
