issue_id,job_id,status,agency,created,title,invoice_state,invoice_number
IS21958127,,JobCompleted,,2026-04-14T16:05:44,Other (Leak),needs_action,
IS21993955,,JobCompleted,,2026-04-17T14:06:25,Floorboard broken (need new floorboard) (Floors),needs_action,00093955
IS22012547,,JobCompleted,,2026-04-20T10:47:35,Vanity unit in my room is falling apart beyond repair-with slight leak and blockage needs replacing,needs_action,
IS22018876,JB11210809,JobCompleted,,2026-04-20T16:45:31,EICR 15-18,needs_action,
IS22120062,,JobCompleted,,2026-04-29T19:13:29,Washing machine does not drain (Washing machine),needs_action,NOV9777
IS22228806,,JobCompleted,,2026-05-11T10:20:42,"Following recent tenant moveout, please quote for damages/cleaning and redecoration of property.",needs_action,IS22228806
IS22244777,,JobCompleted,,2026-05-12T12:01:39,Water leak within property (Leak),needs_action,1314
IS22409247,JB11274152,JobCompleted,,2026-05-28T12:40:38,Other (Macerator broken),needs_action,
IS22430418,,JobCompleted,,2026-05-31T04:38:36,Plug hole blocked (Plug hole),needs_action,INV-61805
IS22451863,,JobCompleted,,2026-06-01T23:53:19,Water leak within property (Leak),needs_action,	INV-61862
IS22454880,JB11289188,JobCompleted,,2026-06-02T08:22:26,Joint in plasterboard damaged (Plasterboard),needs_action,No Invoice Required
IS22532021,JB11340494,JobCompleted,,2026-06-09T10:25:57,Cleaning services (Property services),needs_action,No Invoice Required
IS22567530,,JobCompleted,,2026-06-12T09:13:39,In a dry room (Mould appearing),needs_action,INV-62184
IS22603168,JB11427747,JobCompleted,,2026-06-16T11:16:58,Water leak within property (Leak),needs_action,
IS22638230,JB11413082,JobCompleted,,2026-06-19T11:06:39,Please attend to fire alarm fault as reported by the caretaker; Oleksandr - 07481621881,needs_action,
IS22655070,JB11420604,JobCompleted,,2026-06-22T07:59:37,Other (Drawers),needs_action,No Invoice Required
IS22655101,JB11420636,JobCompleted,,2026-06-22T08:02:22,"Blinds, the chain of my blinds has cut, I would like it repaired.",needs_action,No Invoice Required
IS22658785,JB11424326,JobCompleted,,2026-06-22T10:53:41,"Door damaged, scratched or blistered (Internal door)",needs_action,No Invoice Required
IS22662259,JB11429672,JobCompleted,,2026-06-22T14:07:01,Other (Planned works),needs_action,No Invoice Required
IS22669444,JB11430779,JobCompleted,,2026-06-23T08:09:08,Shower hose broken or leaking (Shower hose),needs_action,No Invoice Required
IS22677352,JB11437566,JobCompleted,,2026-06-23T15:31:38,Other (Fridge),needs_action,No Invoice Required
IS22690377,JB11446486,JobCompleted,,2026-06-24T15:49:30,Adjust closer 9th floor fire door 10,needs_action,No Invoice Required
IS22699362,JB11453857,JobCompleted,,2026-06-25T12:11:01,Check Out Inspection (Planned works),needs_action,No Invoice Required
IS22722999,JB11465240,JobCompleted,,2026-06-28T10:45:42,Other (Fridge),needs_action,No Invoice Required
IS22737838,JB11475413,JobCompleted,,2026-06-29T16:30:26,Other (Fridge),needs_action,No Invoice Required
