is,jb,recipient,confirm_date,bc_planned_start,bc_ref,bc_status,ff_status,contact,title,site_group,site_display,development_site,development_site
IS22763039,JB11495509,Agent,16/07/2026,2026-07-16 09:00:00,DLFF279647,Sent,AwaitingJobCompletion,1604 Chapmam,Check Out Inspection (Planned works),"1604 Chapmam, Salford","1604 Chapmam, Salford",1604 Chapmam,1604 Chapmam
IS22840282,JB11539932,Agent,15/07/2026,2026-07-15 11:00:00,JOB283878,Sent,AwaitingJobCompletion,308 Armouries,Wall plaster damaged (Plaster),"308 Armouries, Birmingham","308 Armouries, Birmingham",Armouries (Birmingham),Armouries (Birmingham)
IS22878805,JB11563542,Agent,13/07/2026,2026-07-13 15:00:00,JOB285073,On the way,AwaitingJobCompletion,Flat 1105 Aston Place,Toilet blocked (Pipes),"1105 Aston Place, Birmingham","1105 Aston Place, Birmingham",Aston Place (Birmingham),Aston Place (Birmingham)
IS22830679,JB11533645,Agent,14/07/2026,2026-07-14 09:00:00,DLFF282826,Sent,AwaitingJobCompletion,Flat 1908 Aston Place,Check Out Inspection (Planned works),"1908 Aston Place, Birmingham","1908 Aston Place, Birmingham",Aston Place (Birmingham),Aston Place (Birmingham)
IS22834924,JB11536211,Agent,15/07/2026,2026-07-15 09:00:00,JOB284833,Sent,AwaitingJobCompletion,1211 Aston Place,Other (Ceiling),"1211 Aston Place, Birmingham","1211 Aston Place, Birmingham",Aston Place (Birmingham),Aston Place (Birmingham)
IS22662229,JB11429674,Agent,17/07/2026,2026-07-17 09:00:00,DLFF277087~6,Sent,AwaitingJobCompletion,Flat 1209 Aston Place,Other (Planned works),"1209 Aston Place, Birmingham","1209 Aston Place, Birmingham",Aston Place (Birmingham),Aston Place (Birmingham)
IS22878689,JB11569538,Agent,20/07/2026,2026-07-20 09:00:00,DLFF285233,Sent,AwaitingJobCompletion,Flat 605 Aston Place,Other (Planned works),"605 Aston Place, Birmingham","605 Aston Place, Birmingham",Aston Place (Birmingham),Aston Place (Birmingham)
IS22878686,JB11569545,Agent,20/07/2026,2026-07-20 10:00:00,DLFF285234,Sent,AwaitingJobCompletion,Flat 801 Aston Place,Other (Planned works),"801 Aston Place, Birmingham","801 Aston Place, Birmingham",Aston Place (Birmingham),Aston Place (Birmingham)
IS22888400,JB11570372,Tenant,20/07/2026,2026-07-20 11:00:00,DLFF285248,Sent,AwaitingJobCompletion,1116 Aston Place,Other (Bed),"1116 Aston Place, Birmingham","1116 Aston Place, Birmingham",Aston Place (Birmingham),Aston Place (Birmingham)
IS22655163,JB11420714,Agent,13/07/2026,2026-07-13 09:00:00,DLFF276866~1,Unscheduled,AwaitingJobCompletion,Flat 313 Chapel Wharf,Other (Fridge),"313 Chapman House, Salford","313 Chapman House, Salford",Chapel Wharf (Salford),Chapel Wharf (Salford)
IS22806552,JB11515843,Agent,14/07/2026,2026-07-14 10:30:00,JOB280081,Sent,AwaitingJobCompletion,Flat 314 Chapel Wharf,Toilet seat loose (Toilet seat/bowl),"314 Alcock House, Salford","314 Alcock House, Salford",Chapel Wharf (Salford),Chapel Wharf (Salford)
IS22724001,JB11466714,Agent,14/07/2026,2026-07-14 10:30:00,DLFF278599,Scheduled,AwaitingJobCompletion,Flat 316 Chapel Wharf,Check Out Inspection (Planned works),"316 Alcock House, Salford","316 Alcock House, Salford",Chapel Wharf (Salford),Chapel Wharf (Salford)
IS22886895,JB11569105,Agent,14/07/2026,2026-07-14 11:00:00,JOB285225,Scheduled,AwaitingJobCompletion,1503 Doodson House,Other (Water),"1503 Doodson House, Salford","1503 Doodson House, Salford",Chapel Wharf (Salford),Chapel Wharf (Salford)
IS22691159,JB11446920,Agent,14/07/2026,2026-07-14 12:30:00,JOB283949,Sent,AwaitingJobCompletion,303 Bradshaw House,Needs bulb replacement (Light bulb),"303 Bradshaw House, Salford","303 Bradshaw House, Salford",Chapel Wharf (Salford),Chapel Wharf (Salford)
IS22799565,JB11514084,Agent,14/07/2026,2026-07-14 14:00:00,DLFF279993,Sent,AwaitingJobCompletion,Flat 1002 Chapel Wharf,Wardrobe Broken (Wardrobe),"1002 Bradshaw House, Salford","1002 Bradshaw House, Salford",Chapel Wharf (Salford),Chapel Wharf (Salford)
IS22806033,JB11515704,Agent,14/07/2026,2026-07-14 15:00:00,DLFF280076,Sent,AwaitingJobCompletion,1602 Doodson House,Other (Sofa),"1602 Doodson House, Salford","1602 Doodson House, Salford",Chapel Wharf (Salford),Chapel Wharf (Salford)
IS22806096,JB11515735,Agent,14/07/2026,2026-07-14 15:30:00,JOB280080,Sent,AwaitingJobCompletion,1602 Doodson House,Other (Furniture),"1602 Doodson House, Salford","1602 Doodson House, Salford",Chapel Wharf (Salford),Chapel Wharf (Salford)
IS22815060,JB11522486,Agent,14/07/2026,2026-07-14 16:00:00,JOB282442,Sent,AwaitingJobCompletion,1006 Doodson House,Not working (Extractor Fan),"1006 Doodson House, Salford","1006 Doodson House, Salford",Chapel Wharf (Salford),Chapel Wharf (Salford)
