is,jb,recipient,confirm_date,bc_planned_start,bc_ref,bc_status,ff_status,contact,title
IS22655163,JB11420714,Agent,13/07/2026,2026-07-13 09:00:00,DLFF276866~1,Unscheduled,AwaitingJobCompletion,Flat 313 Chapel Wharf,Other (Fridge)
IS22831880,JB11534771,Agent,13/07/2026,2026-07-13 10:16:00,EOT285210,Sent,AwaitingJobCompletion,Flat 426 The Point,426 The Point - Next available from 15/07/2026
IS22878805,JB11563542,Agent,13/07/2026,2026-07-13 15:00:00,JOB285073,On the way,AwaitingJobCompletion,Flat 1105 Aston Place,Toilet blocked (Pipes)
IS22864484,JB11556101,Agent,13/07/2026,2026-07-13 16:00:00,JOB284802,Sent,AwaitingJobCompletion,Flat 319 Leodis Square,Other (Kitchen Units and Larder)
IS22835075,JB11536735,Agent,14/07/2026,2026-07-14 08:00:00,DLFF283864,Sent,AwaitingJobCompletion,Flat 503 Leodis Square,Check Out Inspection (Planned works)
IS22652873,JB11419766,Agent,14/07/2026,2026-07-14 08:00:00,DLFF276950,Scheduled,JobCompleted,Flat 519 Leodis Square,Check Out Inspection (Planned works)
IS22684090,JB11441537,Agent,14/07/2026,2026-07-14 08:00:00,JOB277618,Sent,AwaitingJobCompletion,258 Stoneywood Brae,Cleaning services (Property services)
IS22671838,JB11439768,Agent,14/07/2026,2026-07-14 08:00:00,DLFF277680,Scheduled,JobCompleted,Flat G08 Leodis Square,Check Out Inspection (Planned works)
IS22738305,JB11478788,Tenant,14/07/2026,2026-07-14 08:00:00,JOB278539,Scheduled,AwaitingJobCompletion,Flat G09 Leodis Square,Cleaning (Planned works)
IS22831776,JB11534671,Agent,14/07/2026,2026-07-14 08:00:00,DLFF282840,Sent,AwaitingJobCompletion,Flat 1024 The Point,1024 The Point - Next available from 15/07/2026
IS22843566,JB11542617,Agent,14/07/2026,2026-07-14 08:00:00,EOT283953~2,Scheduled,AwaitingJobCompletion,54 Stoneywood Brae,Check-out (Property Inspection)
IS22857135,JB11551864,Agent,14/07/2026,2026-07-14 08:00:00,JOB284748,Sent,AwaitingJobCompletion,"Reception, Granary Quay, 365 Glasgow Harbour Terra",Carpet ripped or damaged (need new carpet) (Floors)
IS22874534,JB11562348,Agent,14/07/2026,2026-07-14 08:00:00,DLFF284973,Sent,AwaitingJobCompletion,Flat 519 Leodis Square,Fridge does not work correctly (Fridge)
IS22874825,JB11562402,Agent,14/07/2026,2026-07-14 08:00:00,DLFF284980,Scheduled,AwaitingJobCompletion,Flat 908 The Point,908 The Point - Next available from 20/07/2026
IS22886300,JB11568475,Agent,14/07/2026,2026-07-14 08:00:00,JOB285191,Scheduled,AwaitingJobCompletion,Flat 314 Leodis Square,Other (Walls)
IS22820670,JB11526287,Agent,14/07/2026,2026-07-14 08:30:00,JOB282544,Sent,AwaitingJobCompletion,704 Calvert House,Toilet seat loose (Toilet seat/bowl)
IS22830679,JB11533645,Agent,14/07/2026,2026-07-14 09:00:00,DLFF282826,Sent,AwaitingJobCompletion,Flat 1908 Aston Place,Check Out Inspection (Planned works)
IS22790848,JB11517141,Agent,14/07/2026,2026-07-14 09:00:00,EOT284832,Sent,AwaitingJobCompletion,Flat 226 The Point,Check Out Inspection (Planned works)
IS22871667,JB11569667,Agent,14/07/2026,2026-07-14 09:00:00,JOB285240,Scheduled,AwaitingJobCompletion,Aaron House,"Other (Doors, Garages and Locks)"
IS22807250,JB11515994,Agent,14/07/2026,2026-07-14 09:30:00,DLFF280112,Scheduled,AwaitingJobCompletion,Flat G11 Leodis Square,Other (Fridge)
IS22104945,JB11527389,Agent,14/07/2026,2026-07-14 10:00:00,DLFF282654,Scheduled,AwaitingJobCompletion,20 Stoneywood Brae,Check Out Inspection (Planned works)
IS22873786,JB11562158,Agent,14/07/2026,2026-07-14 10:00:00,JOB284971,Scheduled,AwaitingJobCompletion,223 Granary Quay,Wardrobe doorstopper in LH bedroom needs fixed ASAP *** MOVE IN 13/07***
IS22724001,JB11466714,Agent,14/07/2026,2026-07-14 10:30:00,DLFF278599,Scheduled,AwaitingJobCompletion,Flat 316 Chapel Wharf,Check Out Inspection (Planned works)
IS22806552,JB11515843,Agent,14/07/2026,2026-07-14 10:30:00,JOB280081,Sent,AwaitingJobCompletion,Flat 314 Chapel Wharf,Toilet seat loose (Toilet seat/bowl)
IS22815157,JB11522547,Agent,14/07/2026,2026-07-14 11:00:00,JOB282444,Sent,AwaitingJobCompletion,Flat 912 Leodis Square,Bathroom mirror scratched / damaged (Fittings / furniture)
IS22281610,JB11527749,Agent,14/07/2026,2026-07-14 11:00:00,DLFF282657,Scheduled,AwaitingJobCompletion,338 Stoneywood Brae,Check Out Inspection (Planned works)
IS22886895,JB11569105,Agent,14/07/2026,2026-07-14 11:00:00,JOB285225,Scheduled,AwaitingJobCompletion,1503 Doodson House,Other (Water)
IS22815764,JB11523001,Agent,14/07/2026,2026-07-14 11:30:00,DLFF282446,Sent,AwaitingJobCompletion,Flat 912 Leodis Square,Other (Fridge)
IS22714090,JB11462002,Agent,14/07/2026,2026-07-14 12:00:00,JOB278023,Scheduled,AwaitingJobCompletion,Flat 211 Leodis Square,Internal cleaning (Cleaning)
IS22807081,JB11517208,Agent,14/07/2026,2026-07-14 12:00:00,DLFF282524,Scheduled,JobCompleted,Flat G06 Leodis Square,Other (Planned works)
IS22840424,JB11540055,Agent,14/07/2026,2026-07-14 12:30:00,DLFF283879,Sent,AwaitingJobCompletion,Flat 907 The Point,907 The Point - Next Available from 16/07/2026 1. Please remove tenant's left be
IS22691159,JB11446920,Agent,14/07/2026,2026-07-14 12:30:00,JOB283949,Sent,AwaitingJobCompletion,303 Bradshaw House,Needs bulb replacement (Light bulb)
IS22860760,JB11553734,Agent,14/07/2026,2026-07-14 13:00:00,EOT284781~3,Sent,AwaitingJobCompletion,Flat 316 Leodis Square,Interim inspection (Property Inspection)
IS22853382,JB11560255,Agent,14/07/2026,2026-07-14 13:00:00,DLFF284855,Scheduled,AwaitingJobCompletion,258 Stoneywood Brae,Check Out Inspection (Planned works)
IS22856681,JB11551536,Agent,14/07/2026,2026-07-14 13:30:00,DLFF284743,Scheduled,AwaitingJobCompletion,Flat 303 Leodis Square,Other (Fridge)
IS22799565,JB11514084,Agent,14/07/2026,2026-07-14 14:00:00,DLFF279993,Sent,AwaitingJobCompletion,Flat 1002 Chapel Wharf,Wardrobe Broken (Wardrobe)
IS22823903,JB11527791,Agent,14/07/2026,2026-07-14 14:00:00,DLFF282661,Sent,AwaitingJobCompletion,Flat G03 Leodis Square,Hob (gas) does not work correctly (Hob)
IS22865054,JB11556672,Agent,14/07/2026,2026-07-14 14:00:00,JOB284808,Sent,AwaitingJobCompletion,Flat 319 Leodis Square,Other (Furniture)
IS22857807,JB11552448,Agent,14/07/2026,2026-07-14 14:00:00,JOB284752~1,Scheduled,AwaitingJobCompletion,"Reception, Granary Quay, 365 Glasgow Harbour Terra",Electric heater loose (Electric Heater)
IS22888699,JB11570576,Tenant,14/07/2026,2026-07-14 14:00:00,JOB285250,Sent,AwaitingJobCompletion,Flat 601 Leodis Square,Other (Shower)
IS22720222,JB11466721,Agent,14/07/2026,2026-07-14 14:30:00,DLFF278335,Scheduled,AwaitingJobCompletion,Flat 806 Leodis Square,Check Out Inspection (Planned works)
IS22806033,JB11515704,Agent,14/07/2026,2026-07-14 15:00:00,DLFF280076,Sent,AwaitingJobCompletion,1602 Doodson House,Other (Sofa)
IS22832677,JB11535466,Tenant,14/07/2026,2026-07-14 15:00:00,DLFF282916,Sent,AwaitingJobCompletion,Flat 111 Leodis Square,Fridge does not work correctly (Fridge)
IS22864527,JB11556136,Agent,14/07/2026,2026-07-14 15:00:00,JOB284803,Sent,AwaitingJobCompletion,Flat 319 Leodis Square,Other (Bathroom and Toilet)
IS22806096,JB11515735,Agent,14/07/2026,2026-07-14 15:30:00,JOB280080,Sent,AwaitingJobCompletion,1602 Doodson House,Other (Furniture)
IS22815060,JB11522486,Agent,14/07/2026,2026-07-14 16:00:00,JOB282442,Sent,AwaitingJobCompletion,1006 Doodson House,Not working (Extractor Fan)
IS22827312,JB11531003,Agent,14/07/2026,2026-07-14 16:00:00,JOB282784,Sent,AwaitingJobCompletion,1606 Alcock House,Frame split (Internal door)
IS22857604,JB11552279,Agent,14/07/2026,2026-07-14 16:00:00,JOB284751,Scheduled,AwaitingJobCompletion,"Reception, Granary Quay, 365 Glasgow Harbour Terra",Tread or riser loose (Tread or riser)
IS22860589,JB11553714,Tenant,14/07/2026,2026-07-14 16:00:00,JOB284765,Sent,AwaitingJobCompletion,Flat G02 Leodis Square,Push button damaged (Flush)
IS22815072,JB11522500,Agent,14/07/2026,2026-07-14 16:30:00,JOB282443,Sent,AwaitingJobCompletion,1006 Doodson House,Other (Bathroom and Toilet)
IS22784595,JB11504702,Agent,14/07/2026,2026-07-14 17:00:00,JOB279818,Sent,AwaitingJobCompletion,Flat 1014 Chapel Wharf,Other (Shower)
IS22887178,JB11569365,Agent,14/07/2026,2026-07-14 17:00:00,JOB285229,Sent,AwaitingJobCompletion,Flat 518 Leodis Square,Plug hole blocked (Plug hole)
IS22812618,JB11528110,Agent,14/07/2026,2026-07-14 17:30:00,DLFF283939,Sent,AwaitingJobCompletion,1518 Chapman House,Check Out Inspection (Planned works)
IS22812952,JB11521149,Agent,15/07/2026,2026-07-15 08:00:00,JOB282432,Scheduled,AwaitingJobCompletion,25 Honeywood,Lock broken with window open (Window locks)
IS22864176,JB11555856,Agent,15/07/2026,2026-07-15 08:00:00,DLFF284800,Scheduled,AwaitingJobCompletion,Flat 531 The Point,Other (Bed)
IS22874795,JB11562398,Agent,15/07/2026,2026-07-15 08:00:00,DLFF284979,Sent,AwaitingJobCompletion,Flat 402 The Point,402 The Point - Next available 20/07/2026
IS20558106,JB11398484,Agent,15/07/2026,2026-07-15 09:00:00,JOB284762,Sent,AwaitingJobCompletion,Spitfire Court,Fire Door Survey Remedials - Common Doors
IS22834924,JB11536211,Agent,15/07/2026,2026-07-15 09:00:00,JOB284833,Sent,AwaitingJobCompletion,1211 Aston Place,Other (Ceiling)
IS22869121,JB11561938,Agent,15/07/2026,2026-07-15 09:00:00,DLFF284969,Sent,AwaitingJobCompletion,Flat 215 The Point,Check Out Inspection (Planned works)
IS22833578,JB11535938,Tenant,15/07/2026,2026-07-15 10:00:00,DLFF283541,Sent,AwaitingJobCompletion,903 Calvert House,Other (Bed)
IS22837119,JB11537168,Agent,15/07/2026,2026-07-15 10:00:00,JOB283868,Scheduled,AwaitingJobCompletion,916 The Point,Needs bulb replacement (Light bulb)
IS22869882,JB11560574,Agent,15/07/2026,2026-07-15 10:00:00,DLFF284856,Sent,AwaitingJobCompletion,1121 Granary Quay,Other (Bed)
IS22831579,JB11534473,Agent,15/07/2026,2026-07-15 11:00:00,JOB282829,Sent,AwaitingJobCompletion,Flat 714 Leodis Square,Chest of Drawers Broken (Chest of Drawers)
IS22840282,JB11539932,Agent,15/07/2026,2026-07-15 11:00:00,JOB283878,Sent,AwaitingJobCompletion,308 Armouries,Wall plaster damaged (Plaster)
IS22878580,JB11563498,Agent,15/07/2026,2026-07-15 11:00:00,JOB285067,Sent,AwaitingJobCompletion,Flat 907 Chapel Wharf,Door not opening/closing properly (Internal door)
IS22723783,JB11466717,Agent,15/07/2026,2026-07-15 12:00:00,DLFF278334,Scheduled,AwaitingJobCompletion,Flat 203 Leodis Square,Check Out Inspection (Planned works)
IS22842833,JB11541979,Agent,15/07/2026,2026-07-15 13:00:00,JOB283943,Sent,AwaitingJobCompletion,Flat 1105 Leodis Square,Other (Shower)
IS22851172,JB11553178,Agent,15/07/2026,2026-07-15 13:00:00,DLFF284760,Sent,AwaitingJobCompletion,629 The Point,Check Out Inspection (Planned works)
IS22642682,JB11429814,Agent,15/07/2026,2026-07-15 13:00:00,JOB284842,Sent,AwaitingJobCompletion,908 Aaron House,Inventory (Planned works)
IS22870393,JB11560984,Agent,15/07/2026,2026-07-15 13:00:00,DLFF284959,Sent,AwaitingJobCompletion,Flat 716 Leodis Square,Other (Fridge)
IS22820641,JB11526283,Agent,15/07/2026,2026-07-15 13:30:00,JOB282543,Sent,AwaitingJobCompletion,506 Doodson House,Not working (Extractor Fan)
IS22780399,JB11502106,Agent,15/07/2026,2026-07-15 14:00:00,JOB279661~2,Sent,AwaitingJobCompletion,Flat 907 Leodis Square,Other (Chest of Drawers)
IS22738472,JB11475605,Agent,15/07/2026,2026-07-15 14:30:00,JOB278348,Sent,AwaitingJobCompletion,1606 Doodson House,Key lost and property can be accessed (Key lost)
IS22868207,JB11559195,Agent,15/07/2026,2026-07-15 15:00:00,DLFF284849,Sent,AwaitingJobCompletion,Flat 316 Leodis Square,Other (Fridge)
IS22735020,JB11473131,Agent,15/07/2026,2026-07-15 15:30:00,JOB278275,Sent,AwaitingJobCompletion,1006 Doodson House,Frame split (Internal door)
IS22738949,JB11475688,Agent,15/07/2026,2026-07-15 16:00:00,DLFF278368,Sent,AwaitingJobCompletion,Flat 504 Leodis Square,Hob damaged (Hob)
IS22887296,JB11569461,Agent,15/07/2026,2026-07-15 16:00:00,DLFF285230,Sent,AwaitingJobCompletion,Flat 518 Leodis Square,Other (Insects)
IS22887759,JB11569833,Agent,15/07/2026,2026-07-15 16:00:00,JOB285245,Sent,AwaitingJobCompletion,Flat G06 Leodis Square,Other (Postboxes)
IS22714469,JB11462201,Agent,15/07/2026,2026-07-15 16:30:00,JOB278027,Sent,AwaitingJobCompletion,702 Doodson House,Other (Sink)
IS22866323,JB11557752,Agent,16/07/2026,2026-07-16 07:30:00,EOT284822~1,Scheduled,AwaitingJobCompletion,909 Burton House,Interim inspection (Property Inspection)
IS22040967,JB11366754,Agent,16/07/2026,2026-07-16 08:00:00,JOB278265,Scheduled,AwaitingJobCompletion,"Rudyard Court, 127 Long Lane,",Trunking
IS22801228,JB11514480,Agent,16/07/2026,2026-07-16 08:00:00,JOB280002,Sent,AwaitingJobCompletion,Flat 203 Leodis Square,Chest of Drawers Broken (Chest of Drawers)
IS22877843,JB11563373,Agent,16/07/2026,2026-07-16 08:00:00,DLFF285061,Sent,AwaitingJobCompletion,Flat 218 The Point,218 The Point - Next available from 20/07/2026
IS22763039,JB11495509,Agent,16/07/2026,2026-07-16 09:00:00,DLFF279647,Sent,AwaitingJobCompletion,1604 Chapmam,Check Out Inspection (Planned works)
IS22802051,JB11514628,Agent,16/07/2026,2026-07-16 09:00:00,DLFF280061,Sent,AwaitingJobCompletion,Flat 415 Leodis Square,Dishwasher does not work correctly (Dishwasher)
IS22854771,JB11553152,Agent,16/07/2026,2026-07-16 09:00:00,DLFF284757,Sent,AwaitingJobCompletion,Flat 730 The Point,Check Out Inspection (Planned works)
IS22868811,JB11559715,Agent,16/07/2026,2026-07-16 09:00:00,DLFF284851,Scheduled,AwaitingJobCompletion,222 Granary Quay,Other (Bed)
IS22829754,JB11533620,Agent,16/07/2026,2026-07-16 10:00:00,DLFF283942,Sent,AwaitingJobCompletion,Flat 1309 Chapel Wharf,Check Out Inspection (Planned works)
IS22804261,JB11515378,Agent,16/07/2026,2026-07-16 10:00:00,JOB280069,Sent,AwaitingJobCompletion,Flat 508 Leodis Square,Not working (Extractor Fan)
IS22673986,JB11528853,Agent,16/07/2026,2026-07-16 10:00:00,DLFF282763,Sent,AwaitingJobCompletion,The Archers,Pothole repairs - driveway
IS22800141,JB11514243,Agent,16/07/2026,2026-07-16 11:00:00,DLFF279996,Scheduled,AwaitingJobCompletion,Flat 507 Leodis Square,Other (Dishwasher)
IS22830549,JB11533527,Agent,16/07/2026,2026-07-16 11:00:00,DLFF282820,Sent,AwaitingJobCompletion,Flat 1002 Chapel Wharf,Bedside Table Broken (Bedside Table)
IS22790218,JB11508374,Tenant,16/07/2026,2026-07-16 12:00:00,JOB279841,Scheduled,AwaitingJobCompletion,"3 Limestone Avenue, Clay Cross",Other (Seal/Sealant)
IS22790758,JB11508855,Tenant,16/07/2026,2026-07-16 13:00:00,JOB279846,Scheduled,AwaitingJobCompletion,"3 Limestone Avenue, Clay Cross",Not working (Extractor Fan)
IS22800249,JB11514283,Agent,16/07/2026,2026-07-16 13:00:00,DLFF279997,Scheduled,AwaitingJobCompletion,Flat 411 Leodis Square,Dishwasher does not work correctly (Dishwasher)
IS22845846,JB11544528,Agent,16/07/2026,2026-07-16 13:00:00,DLFF284224,Sent,AwaitingJobCompletion,Flat 519 The Point,519 The Point - Next available from 17/07/2026
IS22877832,JB11563369,Agent,16/07/2026,2026-07-16 13:00:00,DLFF285060,Sent,AwaitingJobCompletion,Flat 313 The Point,313 The Point - Next available from 20/07/2026
IS22847020,JB11545156,Agent,16/07/2026,2026-07-16 14:00:00,JOB284230,Sent,AwaitingJobCompletion,Flat 402 Chapel Wharf,Not working (Extractor Fan)
IS22887123,JB11569317,Agent,16/07/2026,2026-07-16 14:00:00,JOB285227,Scheduled,AwaitingJobCompletion,Flat 518 Leodis Square,Not working (Extractor Fan)
IS22889983,JB11571679,Agent,16/07/2026,2026-07-16 14:00:00,JOB285254,Scheduled,AwaitingJobCompletion,530 Stoneywood Brae,Push button damaged (Flush)
IS22891770,JB11573385,Agent,16/07/2026,2026-07-16 15:00:00,JOB285269,Scheduled,AwaitingJobCompletion,468 Stoneywood Brae,Automatic gate not closing/locking (Vehicular gate)
IS22878225,JB11563431,Agent,17/07/2026,2026-07-17 08:00:00,DLFF285065,Sent,AwaitingJobCompletion,530 The Point,530 The Point - Next available from 20/07/2026
IS22662229,JB11429674,Agent,17/07/2026,2026-07-17 09:00:00,DLFF277087~6,Sent,AwaitingJobCompletion,Flat 1209 Aston Place,Other (Planned works)
IS22878288,JB11563442,Agent,17/07/2026,2026-07-17 09:00:00,JOB285066,Sent,AwaitingJobCompletion,Flat 121 Leodis Square,Other (Postboxes)
IS22878637,JB11563504,Agent,17/07/2026,2026-07-17 09:00:00,JOB285069,Scheduled,AwaitingJobCompletion,Flat 906 Leodis Square,Worktop broken (needs replacement) (Worktop)
IS22878657,JB11563507,Agent,17/07/2026,2026-07-17 09:00:00,JOB285070,Sent,AwaitingJobCompletion,Flat 308 Leodis Square,"Door damaged, scratched or blistered (Internal door)"
IS22878205,JB11563429,Agent,17/07/2026,2026-07-17 10:00:00,DLFF285064,Sent,AwaitingJobCompletion,Flat 606 The Point,606 The Point - Next available from 20/07/2026
IS22866240,JB11557705,Agent,17/07/2026,2026-07-17 11:00:00,JOB284820,Sent,AwaitingJobCompletion,Flat 723 Chapel Wharf,Door not opening/closing properly (Internal door)
IS22878025,JB11563400,Agent,17/07/2026,2026-07-17 11:00:00,JOB285062,Sent,AwaitingJobCompletion,Flat 308 Leodis Square,Other (Problem with window frame handle or cord)
IS22875674,JB11562560,Agent,17/07/2026,2026-07-17 12:00:00,JOB284989,Scheduled,AwaitingJobCompletion,Flat 418 Chapel Wharf,Other (Leak)
IS22874886,JB11562414,Agent,17/07/2026,2026-07-17 13:00:00,JOB284983,Sent,AwaitingJobCompletion,Flat 308 Leodis Square,Cracked tiles (Bathroom floor tiles)
IS22876053,JB11562649,Agent,17/07/2026,2026-07-17 13:00:00,JOB284991,Sent,AwaitingJobCompletion,Flat 404 Leodis Square,I need to report two maintenance issues: 1. The metal hinge of the cabinet door 
IS22777105,JB11505586,Agent,17/07/2026,2026-07-17 14:00:00,EOT284821,Sent,JobCompleted,1504 Doodson House,Check Out Inspection (Planned works)
IS22884814,JB11567091,Agent,17/07/2026,2026-07-17 14:00:00,JOB285185,Scheduled,AwaitingJobCompletion,G06 Burton House,Other (Locks and Keys)
IS22730040,JB11478847,Agent,17/07/2026,2026-07-17 15:00:00,DLFF278603,Scheduled,AwaitingJobCompletion,1503 Alcock House,Check Out Inspection (Planned works)
IS22834794,JB11536188,Agent,17/07/2026,2026-07-17 15:00:00,JOB283549,Sent,AwaitingJobCompletion,Flat 110 Forbes Place,Door hinges detached or broken (Base/Floor unit)
IS22736525,JB11474418,Agent,17/07/2026,2026-07-17 15:45:00,JOB278327,Scheduled,AwaitingJobCompletion,Flat G08 Leodis Square,Other (Fittings / furniture)
IS22863525,JB11556911,Agent,17/07/2026,2026-07-17 16:00:00,DLFF284827,Sent,AwaitingJobCompletion,1206 Doodson House,Check Out Inspection (Planned works)
IS22799230,JB11513974,Agent,17/07/2026,2026-07-17 16:00:00,JOB279990,Sent,AwaitingJobCompletion,Flat 907 Leodis Square,Other (Shower)
IS22730275,JB11478843,Agent,17/07/2026,2026-07-17 17:00:00,EOT284824,Sent,JobCompleted,2007 Doodson House,Check Out Inspection (Planned works)
IS22800456,JB11514332,Agent,20/07/2026,2026-07-20 09:00:00,JOB279999,Sent,AwaitingJobCompletion,478 Stoneywood Brae,Shower screen loose / wobbly (Shower curtain or screen)
IS22709953,JB11459430,Agent,20/07/2026,2026-07-20 09:00:00,EOT284658,Sent,JobCompleted,Flat 415 Chapel Wharf,Check Out Inspection (Planned works)
IS22846158,JB11544747,Tenant,20/07/2026,2026-07-20 09:00:00,DLFF284838,Scheduled,JobAwarded,1005 Granary Quay,Other (Table)
IS22870655,JB11561147,Agent,20/07/2026,2026-07-20 09:00:00,DLFF284962,Sent,AwaitingJobCompletion,Flat 812 Leodis Square,Other (Kitchen)
IS22878689,JB11569538,Agent,20/07/2026,2026-07-20 09:00:00,DLFF285233,Sent,AwaitingJobCompletion,Flat 605 Aston Place,Other (Planned works)
IS22800471,JB11514333,Agent,20/07/2026,2026-07-20 09:30:00,JOB280000,Sent,AwaitingJobCompletion,478 Stoneywood Brae,Carpet loose (carpet can be refixed) (Floors)
